Puesto,Delegación,IDH,País comparable
1, Benito Juárez,0.9170, Alemania
2, Miguel Hidalgo,0.8800, Eslovenia
3, Coyoacán,0.8670, Grecia
4, Cuauhtémoc,0.8480, Catar
5, Azcapotzalco,0.8320, Chile
6, Tlalpan,0.8290, Hungría
7, Cuajimalpa de Morelos,0.8250, Baréin
8, Iztacalco,0.8220, Baréin
9, Venustiano Carranza,0.8160, Kuwait
10, La Magdalena Contreras,0.8150, Kuwait
11, Xochimilco,0.8140, Kuwait
12, Gustavo A. Madero,0.8060, Montenegro
13, Álvaro Obregón,0.8060, Montenegro
14, Iztapalapa,0.7830, Antigua y Barbuda
15, Tláhuac,0.7800, Palaos
16, Milpa Alta,0.7420, Argelia
