COLONIA,Geo Point,ALCALDIA
LOMAS DE CHAPULTEPEC,"19.4228411174,-99.2157935754",MIGUEL HIDALGO
LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),"19.4106158914,-99.2262487268",MIGUEL HIDALGO
DEL BOSQUE (POLANCO),"19.4342189235,-99.2094037513",MIGUEL HIDALGO
PEDREGAL DE SANTA URSULA I,"19.314862237,-99.1477954505",COYOACAN
AJUSCO I,"19.324571116,-99.1561602234",COYOACAN
VISTAS DEL MAUREL (U HAB),"19.3053003722,-99.1734305912",COYOACAN
IGNACIO ZARAGOZA I,"19.4131119713,-99.0946992338",VENUSTIANO CARRANZA
CENTRO II,"19.4257144309,-99.1226597674",VENUSTIANO CARRANZA
VALENTIN GOMEZ FARIAS,"19.4161844072,-99.0935753088",VENUSTIANO CARRANZA
MORELOS II,"19.4415560237,-99.1183549378",VENUSTIANO CARRANZA
NICOLAS BRAVO,"19.4538981425,-99.1231533534",VENUSTIANO CARRANZA
5 DE MAYO,"19.4484587894,-99.1999095691",MIGUEL HIDALGO
PLUTARCO ELIAS CALLES,"19.4548396919,-99.1691894629",MIGUEL HIDALGO
CAMPESTRE COYOACAN (FRACC),"19.3088228782,-99.1170550984",COYOACAN
JANITZIO,"19.4475072464,-99.1174322362",VENUSTIANO CARRANZA
FELIPE ANGELES,"19.4526551282,-99.1122459477",VENUSTIANO CARRANZA
AZTECA,"19.4384228454,-99.1079557082",VENUSTIANO CARRANZA
ARTES GRAFICAS,"19.4113463978,-99.1258705526",VENUSTIANO CARRANZA
CUATRO ARBOLES,"19.4164712493,-99.0844284558",VENUSTIANO CARRANZA
CTM X CULHUACAN (U HAB),"19.307966041,-99.1102887862",COYOACAN
EMILIANO ZAPATA,"19.326716273,-99.1380465169",COYOACAN
SAN FRANCISCO CULHUACAN (PBLO),"19.3355619401,-99.1182479778",COYOACAN
PARQUE SAN ANDRES,"19.3457136742,-99.1483519404",COYOACAN
OLIMPICA,"19.3042837028,-99.1700844887",COYOACAN
CTM EL RISCO (U HAB),"19.5094365342,-99.0960012649",GUSTAVO A. MADERO
EL ARBOLILLO 2 (U HAB),"19.5341864173,-99.1443342522",GUSTAVO A. MADERO
C T M ARAGON (U),"19.4526847398,-99.0560709204",GUSTAVO A. MADERO
EDUARDO MOLINA II (U HAB),"19.4831523279,-99.0920755315",GUSTAVO A. MADERO
VILLA DE ARAGON (FRACC),"19.4684352203,-99.0605841044",GUSTAVO A. MADERO
NUEVA VALLEJO,"19.4910226456,-99.1498625821",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 6A SECCION (U HAB) I,"19.4693898906,-99.0692885718",GUSTAVO A. MADERO
SANTIAGO ATEPETLAC (LA SELVITA) (U HAB),"19.5196414819,-99.1476345383",GUSTAVO A. MADERO
EL CARMEN,"19.5424165354,-99.1323042107",GUSTAVO A. MADERO
HEROE DE NACOZARI,"19.4712419788,-99.1436357218",GUSTAVO A. MADERO
MAXIMINO AVILA CAMACHO,"19.4784801141,-99.1373064449",GUSTAVO A. MADERO
JOSE MARIA MORELOS Y PAVON I (U HAB),"19.4839211292,-99.0945198147",GUSTAVO A. MADERO
SAN FELIPE DE JESUS IV,"19.4939626792,-99.0713835197",GUSTAVO A. MADERO
